variable_name,readable_name,definition,description,type,units,allowed_values,value_labels,missing_values,source_or_origin,derivation_or_transformation,validation_rules,notes,review_status,workflow_role,upstream_derivation_status
patient_id,Patient identifier,Restricted patient identifier,Used only inside local analysis to distinguish patients,identifier,,restricted identifier; source format unresolved,,,full_db.dta,,not public,Do not export row-level values Current use is observed from downstream code; upstream derivation is not verified in this public repository. Not referenced by the current do-file.,needs_review,context_only,blocked
encounter_id,Encounter identifier,Restricted encounter identifier,One row per emergency or inpatient encounter,identifier,,restricted identifier; source format unresolved,,,full_db.dta,,not public,Do not export row-level values Current use is observed from downstream code; upstream derivation is not verified in this public repository. Not referenced by the current do-file.,needs_review,context_only,blocked
admission_date,Admission date,Encounter admission date,Used to define first-calendar-day windows upstream,date,,valid date; source coding unresolved,,,full_db.dta,,date,Exact source format not visible in repo Current use is observed from downstream code; upstream derivation is not verified in this public repository. Not referenced by the current do-file.,needs_review,context_only,blocked
encounter_type,Encounter type,Encounter setting category,Public README describes emergency versus inpatient encounter type,categorical,,ED or inpatient,,,full_db.dta,,must map to is_emer and is_inp,Not directly used in current do-file Current use is observed from downstream code; upstream derivation is not verified in this public repository. Not referenced by the current do-file.,needs_review,context_only,blocked
first_encounter,First encounter flag,Indicator for first eligible encounter,Used in cohort tabulation,binary,,0 or 1,0=no;1=yes,,full_db.dta,,0 or 1 or missing,Current use is observed from downstream code; upstream derivation is not verified in this public repository.,needs_review,runtime_input,blocked
is_emer,Emergency encounter flag,Emergency-department encounter indicator,Analysis keeps emergency or inpatient encounters,binary,,0 or 1,0=no;1=yes,,full_db.dta,,0 or 1 or missing,Current use is observed from downstream code; upstream derivation is not verified in this public repository.,draft,runtime_input,blocked
is_inp,Inpatient encounter flag,Inpatient encounter indicator,Missing values are recoded to 0 before cohort restriction,binary,,0 or 1,0=no;1=yes,,full_db.dta,missing set to 0,0 or 1 or missing,Current use is observed from downstream code; upstream derivation is not verified in this public repository.,draft,runtime_input,blocked
location,Region,TriNetX region or location category,Used for regional sensitivity analyses,categorical,,0 to 3,0=South;1=Northeast;2=Midwest;3=West,,full_db.dta,,integer 0 to 3,Value labels inferred from comments Current use is observed from downstream code; upstream derivation is not verified in this public repository.,needs_review,runtime_input,blocked
age_at_encounter,Age at encounter,Age at the index encounter,Used in descriptive tables,continuous,years,nonnegative numeric; source range unresolved,,,full_db.dta,,nonnegative numeric,Current use is observed from downstream code; upstream derivation is not verified in this public repository.,draft,runtime_input,blocked
female,Female sex flag,Indicator for female sex,Used in descriptive tables,binary,,0 or 1,0=no;1=yes,,full_db.dta,,0 or 1 or missing,Current use is observed from downstream code; upstream derivation is not verified in this public repository.,draft,runtime_input,blocked
sex,Sex,Sex category,Named in README minimum variables but current do-file uses female,categorical,,source categories unresolved,,,full_db.dta,,should align with female,Not directly used in current do-file Current use is observed from downstream code; upstream derivation is not verified in this public repository. Not referenced by the current do-file.,needs_review,context_only,blocked
black_race,Black race flag,Indicator for Black race,Used in descriptive tables,binary,,0 or 1,0=no;1=yes,,full_db.dta,,0 or 1 or missing,Current use is observed from downstream code; upstream derivation is not verified in this public repository.,draft,runtime_input,blocked
race,Race,Race category,Named in README minimum variables but current do-file uses black_race,categorical,,source categories unresolved,,,full_db.dta,,should align with black_race,Not directly used in current do-file Current use is observed from downstream code; upstream derivation is not verified in this public repository. Not referenced by the current do-file.,needs_review,context_only,blocked
hisp_eth,Hispanic ethnicity flag,Indicator for Hispanic ethnicity,Used in descriptive tables,binary,,0 or 1,0=no;1=yes,,full_db.dta,,0 or 1 or missing,Current use is observed from downstream code; upstream derivation is not verified in this public repository.,draft,runtime_input,blocked
ethnicity,Ethnicity,Ethnicity category,Named in README minimum variables but current do-file uses hisp_eth,categorical,,source categories unresolved,,,full_db.dta,,should align with hisp_eth,Not directly used in current do-file Current use is observed from downstream code; upstream derivation is not verified in this public repository. Not referenced by the current do-file.,needs_review,context_only,blocked
bmi,Body mass index,Body mass index at or near encounter,Used in descriptive tables,continuous,kg/m2,positive numeric; source range unresolved,,,full_db.dta,,positive numeric,Current use is observed from downstream code; upstream derivation is not verified in this public repository.,draft,runtime_input,blocked
chf,Congestive heart failure,Comorbidity flag for congestive heart failure,Used in descriptive tables,binary,,0 or 1,0=no;1=yes,,full_db.dta,,0 or 1 or missing,Current use is observed from downstream code; upstream derivation is not verified in this public repository.,draft,runtime_input,blocked
ckd,Chronic kidney disease,Comorbidity flag for chronic kidney disease,Used in descriptive tables,binary,,0 or 1,0=no;1=yes,,full_db.dta,,0 or 1 or missing,Current use is observed from downstream code; upstream derivation is not verified in this public repository.,draft,runtime_input,blocked
copd,Chronic obstructive pulmonary disease,Comorbidity flag for COPD,Used in descriptive tables,binary,,0 or 1,0=no;1=yes,,full_db.dta,,0 or 1 or missing,Current use is observed from downstream code; upstream derivation is not verified in this public repository.,draft,runtime_input,blocked
nmd,Neuromuscular disease,Comorbidity flag for neuromuscular disease,Used in descriptive tables and referenced in non-simulated exclusions,binary,,0 or 1,0=no;1=yes,,full_db.dta,,0 or 1 or missing,Current use is observed from downstream code; upstream derivation is not verified in this public repository.,draft,runtime_input,blocked
osa,Obstructive sleep apnea,Comorbidity flag for obstructive sleep apnea,Used in descriptive tables,binary,,0 or 1,0=no;1=yes,,full_db.dta,,0 or 1 or missing,Current use is observed from downstream code; upstream derivation is not verified in this public repository.,draft,runtime_input,blocked
prim_met_alk,Primary metabolic alkalosis,Reviewer-response flag for primary metabolic alkalosis,Tabulated before main analysis,binary,,0 or 1,0=no;1=yes,,full_db.dta,,0 or 1 or missing,Definition comes from upstream preprocessing Current use is observed from downstream code; upstream derivation is not verified in this public repository.,needs_review,runtime_input,blocked
combo_met_alk,Combined metabolic alkalosis,Reviewer-response flag for mixed or combined metabolic alkalosis,Tabulated before main analysis,binary,,0 or 1,0=no;1=yes,,full_db.dta,,0 or 1 or missing,Definition comes from upstream preprocessing Current use is observed from downstream code; upstream derivation is not verified in this public repository.,needs_review,runtime_input,blocked
paco2,Day-1 arterial PaCO2,Arterial partial pressure of carbon dioxide on first calendar day,Used in case definitions and spline models,continuous,mmHg,numeric mmHg; source range unresolved,,,full_db.dta,,numeric physiologic range,TriNetX calendar-day resolution Current use is observed from downstream code; upstream derivation is not verified in this public repository.,draft,runtime_input,blocked
paco2_flag,Day-1 ABG hypercapnia flag,Indicator for day-1 ABG-confirmed hypercapnia,Used as reference standard in diagnostic performance tables,binary,,0 or 1,0=no;1=yes,,full_db.dta,,0 or 1 or missing,Threshold inferred as PaCO2 at least 45 Current use is observed from downstream code; upstream derivation is not verified in this public repository.,needs_review,runtime_input,blocked
highest_paco2_flag,Highest ABG hypercapnia flag,Indicator for highest PaCO2 meeting hypercapnia threshold,Used in diagnostic performance sensitivity analysis,binary,,0 or 1,0=no;1=yes,,full_db.dta,,0 or 1 or missing,Upstream window needs confirmation Current use is observed from downstream code; upstream derivation is not verified in this public repository.,needs_review,runtime_input,blocked
