definition_id,label,implemented_rule,missingness_behavior,published_source,published_rule_summary,unavailable_components,code_location,implementation_status,source_verification_status,approval_status,notes
def1,Adler,"paco2 >= 47.25 & vent_proc == 1",Missing result is replaced with 0 (not included).,https://pmc.ncbi.nlm.nih.gov/articles/PMC12739763/#T1,"PaCO2 >= 47.25 mmHg and either NIV or IMV procedure code.","ICU respiratory-failure setting and published exclusions.","Hypercapnia Case Definitions.do:212",observed_from_code,needs_review,unapproved,Current code captures only the published simulated criteria.
def2,Thille,"paco2 >= 45 & abg_ph < 7.35 & vent_proc == 1",Missing result is replaced with 0 (not included).,https://pmc.ncbi.nlm.nih.gov/articles/PMC12739763/#T1,"PaCO2 >= 45 mmHg; arterial pH < 7.35; and either NIV or IMV procedure code.",ICU respiratory-failure setting.,"Hypercapnia Case Definitions.do:219",observed_from_code,needs_review,unapproved,Current code captures only the published simulated criteria.
def3,Ouanes-Besbes,"paco2 >= 45 & abg_ph < 7.35",Missing result is replaced with 0 (not included).,https://pmc.ncbi.nlm.nih.gov/articles/PMC12739763/#T1,"PaCO2 >= 45 mmHg and arterial pH < 7.35.","ICU respiratory-failure setting; prior OSA and in-hospital-death exclusions.","Hypercapnia Case Definitions.do:226",observed_from_code,needs_review,unapproved,Current code captures only the published simulated criteria.
def4,Calvo,"paco2 > 45 & abg_ph < 7.35 & niv_proc == 1",Missing result is replaced with 0 (not included).,https://pmc.ncbi.nlm.nih.gov/articles/PMC12739763/#T1,"PaCO2 > 45 mmHg; arterial pH < 7.35; and NIV procedure code.","Age; NIV candidacy/refusal; and ventilation-at-admission exclusions.","Hypercapnia Case Definitions.do:234",observed_from_code,verified,approved,The approved simulated criterion now uses the published strict PaCO2 boundary; listed non-simulated components remain unavailable.
def5,Bülbül,"paco2 >= 45 & !missing(paco2)",Missing result is replaced with 0 (not included).,https://pmc.ncbi.nlm.nih.gov/articles/PMC12739763/#T1,PaCO2 >= 45 mmHg.,Persistent elevation on repeat PaCO2 testing.,"Hypercapnia Case Definitions.do:242",observed_from_code,verified,approved,The approved simulated criterion is generated transparently and asserted against hypercap_on_abg as derived at the approved producer commit; persistence remains non-simulated.
def6,Meservey,"ohs_code == 1 | has_j9602 == 1 | has_j9612 == 1 | has_j9622 == 1 | has_j9692 == 1",Missing component flags are not independently imputed; the definition starts at 0 and becomes 1 when any listed flag equals 1.,https://pmc.ncbi.nlm.nih.gov/articles/PMC12739763/#T1,Any diagnosis code for hypercapnic respiratory failure.,Published exclusions.,"Hypercapnia Case Definitions.do:251",observed_from_code,verified,approved,The approved simulated criterion is generated transparently from E66.2 and J96.02/J96.12/J96.22/J96.92 flags and asserted against hypercap_resp_failure as derived at the approved producer commit.
def7,Vonderbank,"(paco2 >= 45 & !missing(paco2)) | (vbg_co2 >= 45 & vbg_ph > 7.35 & !missing(vbg_co2, vbg_ph))",Missing result is replaced with 0 (not included).,https://pmc.ncbi.nlm.nih.gov/articles/PMC12739763/#T1,"PaCO2 >= 45 mmHg or venous CO2 >= 45 mmHg with venous pH > 7.35.","Arterialized capillary blood gas criterion and respiratory-disease/symptom restriction.","Hypercapnia Case Definitions.do:259",observed_from_code,verified,approved,The approved simulated criterion now uses the published strict venous-pH boundary; listed non-simulated components remain unavailable.
def8,Wilson,"paco2 >= 50 & abg_ph >= 7.35 & abg_ph <= 7.45",Missing result is replaced with 0 (not included).,https://pmc.ncbi.nlm.nih.gov/articles/PMC12739763/#T1,"PaCO2 >= 50 mmHg and arterial pH 7.35-7.45.",No additional non-simulated criteria are listed in the final article table.,"Hypercapnia Case Definitions.do:266",observed_from_code,verified,approved,The approved simulated criterion now uses the published PaCO2 threshold of 50 mmHg.
def9,Cavalot,"(paco2 >= 45 & abg_ph <= 7.35) | (vbg_co2 >= 50 & vbg_ph <= 7.34)",Missing result is replaced with 0 (not included).,https://pmc.ncbi.nlm.nih.gov/articles/PMC12739763/#T1,"PaCO2 >= 45 mmHg with arterial pH <= 7.35 or venous CO2 >= 50 mmHg with venous pH <= 7.34.","Respiratory-symptom CEDIS codes and published exclusions.","Hypercapnia Case Definitions.do:274",observed_from_code,needs_review,unapproved,Current code captures only the published simulated criteria.
def10,Chung,"paco2 >= 45 & abg_ph <= 7.45",Missing result is replaced with 0 (not included).,https://pmc.ncbi.nlm.nih.gov/articles/PMC12739763/#T1,"PaCO2 >= 45 mmHg and arterial pH <= 7.45.",Published iatrogenic/sedation/cardiac-arrest/trauma exclusions.,"Hypercapnia Case Definitions.do:281",observed_from_code,verified,approved,The approved simulated criterion now uses the published inclusive arterial-pH boundary; listed non-simulated exclusions remain unavailable.
